time,equity,position
2025-12-01 00:00:00,10149.295,-1
2025-12-01 01:00:00,10091.703999999998,-1
2025-12-01 02:00:00,10114.813999999998,1
2025-12-01 03:00:00,10065.351999999997,1
2025-12-01 04:00:00,10052.693999999996,-1
2025-12-01 05:00:00,10036.638999999997,1
2025-12-01 06:00:00,10045.456999999995,1
2025-12-01 07:00:00,10047.540999999994,1
2025-12-01 08:00:00,9986.491999999993,1
2025-12-01 09:00:00,9976.862999999994,-1
2025-12-01 10:00:00,9964.31,-1
2025-12-01 11:00:00,9978.271999999995,-1
2025-12-01 12:00:00,9955.250999999998,1
2025-12-01 13:00:00,10010.832,1
2025-12-01 14:00:00,9932.856999999998,1
2025-12-01 15:00:00,10097.289999999995,1
2025-12-01 16:00:00,10192.348999999993,-1
2025-12-01 17:00:00,10203.90899999999,-1
2025-12-01 18:00:00,10266.868999999988,1
2025-12-01 19:00:00,10182.756999999987,1
2025-12-01 20:00:00,10227.080999999986,1
2025-12-01 21:00:00,10248.219999999983,1
2025-12-01 22:00:00,10290.977999999985,-1
2025-12-01 23:00:00,10298.051999999985,-1
2025-12-02 00:00:00,10255.485999999986,-1
2025-12-02 01:00:00,10296.401999999987,-1
2025-12-02 02:00:00,10288.743999999986,-1
2025-12-02 03:00:00,10329.961999999987,1
2025-12-02 04:00:00,10319.258999999984,-1
2025-12-02 05:00:00,10290.212999999983,-1
2025-12-02 06:00:00,10288.788999999984,-1
2025-12-02 07:00:00,10283.167999999983,-1
2025-12-02 08:00:00,10327.165999999983,-1
2025-12-02 09:00:00,10327.569999999985,-1
2025-12-02 10:00:00,10373.168999999983,1
2025-12-02 11:00:00,10407.348999999984,-1
2025-12-02 12:00:00,10369.044999999984,-1
2025-12-02 13:00:00,10389.145999999984,1
2025-12-02 14:00:00,10329.329999999985,1
2025-12-02 15:00:00,10527.741999999987,-1
2025-12-02 16:00:00,10515.131999999985,1
2025-12-02 17:00:00,10458.648999999989,-1
2025-12-02 18:00:00,10374.079999999985,-1
2025-12-02 19:00:00,10413.915999999987,-1
2025-12-02 20:00:00,10476.307999999985,1
2025-12-02 21:00:00,10505.537999999984,1
2025-12-02 22:00:00,10503.701999999987,1
2025-12-02 23:00:00,10536.148999999985,-1
2025-12-03 00:00:00,10512.014999999987,-1
2025-12-03 01:00:00,10472.921999999988,-1
2025-12-03 02:00:00,10519.772999999986,1
2025-12-03 03:00:00,10497.505999999987,-1
2025-12-03 04:00:00,10461.86999999999,1
2025-12-03 05:00:00,10452.87899999999,1
2025-12-03 06:00:00,10446.58899999999,1
2025-12-03 07:00:00,10429.257999999989,-1
2025-12-03 08:00:00,10369.565999999988,-1
2025-12-03 09:00:00,10336.582999999982,1
2025-12-03 10:00:00,10351.758999999984,-1
2025-12-03 11:00:00,10323.440999999977,1
2025-12-03 12:00:00,10278.751999999977,1
2025-12-03 13:00:00,10262.636999999977,-1
2025-12-03 14:00:00,10477.410999999978,-1
2025-12-03 15:00:00,10392.530999999977,-1
2025-12-03 16:00:00,10458.186999999976,-1
2025-12-03 17:00:00,10386.116999999977,1
2025-12-03 18:00:00,10375.770999999972,-1
2025-12-03 19:00:00,10346.735999999974,1
2025-12-03 20:00:00,10280.021999999974,-1
2025-12-03 21:00:00,10299.948999999973,1
2025-12-03 22:00:00,10260.495999999974,-1
2025-12-03 23:00:00,10275.291999999972,-1
2025-12-04 00:00:00,10245.978999999972,1
2025-12-04 01:00:00,10279.367999999971,-1
2025-12-04 02:00:00,10303.672999999973,1
2025-12-04 03:00:00,10326.73099999997,-1
2025-12-04 04:00:00,10306.68899999997,1
