time,equity,position
2025-12-01 00:00:00,10149.295,-1
2025-12-01 01:00:00,10059.625999999998,1
2025-12-01 02:00:00,10041.725999999997,1
2025-12-01 03:00:00,10012.323999999999,1
2025-12-01 04:00:00,10037.323999999999,-1
2025-12-01 05:00:00,10013.762999999999,1
2025-12-01 06:00:00,10035.212999999998,1
2025-12-01 07:00:00,10034.278999999993,1
2025-12-01 08:00:00,9977.051999999992,1
2025-12-01 09:00:00,9979.43899999999,-1
2025-12-01 10:00:00,9962.473999999986,1
2025-12-01 11:00:00,9965.967999999986,-1
2025-12-01 12:00:00,9972.766999999989,1
2025-12-01 13:00:00,10004.795999999991,1
2025-12-01 14:00:00,9871.43099999999,1
2025-12-01 15:00:00,10060.789999999992,-1
2025-12-01 16:00:00,10143.764999999989,-1
2025-12-01 17:00:00,10172.318999999985,-1
2025-12-01 18:00:00,10212.742999999984,1
2025-12-01 19:00:00,10138.786999999984,1
2025-12-01 20:00:00,10165.24499999998,1
2025-12-01 21:00:00,10201.913999999979,1
2025-12-01 22:00:00,10244.67199999998,-1
2025-12-01 23:00:00,10265.17799999998,-1
2025-12-02 00:00:00,10227.865999999978,-1
2025-12-02 01:00:00,10254.893999999977,-1
2025-12-02 02:00:00,10237.259999999973,-1
2025-12-02 03:00:00,10290.571999999976,1
2025-12-02 04:00:00,10258.554999999971,-1
2025-12-02 05:00:00,10255.774999999969,-1
2025-12-02 06:00:00,10280.650999999969,-1
2025-12-02 07:00:00,10270.037999999971,-1
2025-12-02 08:00:00,10312.055999999971,-1
2025-12-02 09:00:00,10327.771999999974,-1
2025-12-02 10:00:00,10384.310999999976,-1
2025-12-02 11:00:00,10418.728999999976,-1
2025-12-02 12:00:00,10368.290999999977,-1
2025-12-02 13:00:00,10411.959999999981,1
2025-12-02 14:00:00,10339.543999999976,1
2025-12-02 15:00:00,10537.955999999978,-1
2025-12-02 16:00:00,10559.169999999976,-1
2025-12-02 17:00:00,10504.518999999982,-1
2025-12-02 18:00:00,10441.515999999978,-1
2025-12-02 19:00:00,10449.48599999998,-1
2025-12-02 20:00:00,10436.463999999982,1
2025-12-02 21:00:00,10431.763999999986,1
2025-12-02 22:00:00,10390.909999999985,1
2025-12-02 23:00:00,10442.672999999986,-1
2025-12-03 00:00:00,10488.948999999988,-1
2025-12-03 01:00:00,10411.147999999986,-1
2025-12-03 02:00:00,10357.750999999984,1
2025-12-03 03:00:00,10342.859999999984,-1
2025-12-03 04:00:00,10310.451999999985,1
2025-12-03 05:00:00,10293.410999999986,-1
2025-12-03 06:00:00,10296.764999999989,1
2025-12-03 07:00:00,10255.181999999988,-1
2025-12-03 08:00:00,10183.493999999986,-1
2025-12-03 09:00:00,10189.17899999999,1
2025-12-03 10:00:00,10195.962999999989,-1
2025-12-03 11:00:00,10151.634999999977,1
2025-12-03 12:00:00,10082.599999999973,1
2025-12-03 13:00:00,10060.714999999973,-1
2025-12-03 14:00:00,10192.632999999974,-1
2025-12-03 15:00:00,10100.934999999972,-1
2025-12-03 16:00:00,10166.590999999973,-1
2025-12-03 17:00:00,10094.520999999973,1
2025-12-03 18:00:00,10107.262999999972,-1
2025-12-03 19:00:00,10075.339999999971,-1
2025-12-03 20:00:00,9992.545999999973,-1
2025-12-03 21:00:00,10031.602999999972,1
2025-12-03 22:00:00,9992.149999999974,-1
2025-12-03 23:00:00,9976.041999999969,-1
2025-12-04 00:00:00,9976.34699999997,1
2025-12-04 01:00:00,10039.02399999997,-1
2025-12-04 02:00:00,10082.268999999973,1
2025-12-04 03:00:00,10096.03499999997,-1
2025-12-04 04:00:00,10075.372999999965,1
2025-12-04 05:00:00,10080.683999999968,1
2025-12-04 06:00:00,10083.292999999972,1
2025-12-04 07:00:00,10075.201999999968,1
