time,equity,position
2025-12-01 00:00:00,10173.828000000001,-1
2025-12-01 01:00:00,10073.931000000008,1
2025-12-01 02:00:00,10107.631000000005,1
2025-12-01 03:00:00,10073.089000000007,1
2025-12-01 04:00:00,10108.757000000007,-1
2025-12-01 05:00:00,10096.648000000008,1
2025-12-01 06:00:00,10121.092000000011,1
2025-12-01 07:00:00,10115.208000000008,1
2025-12-01 08:00:00,10063.453000000007,1
2025-12-01 09:00:00,10037.618000000011,-1
2025-12-01 10:00:00,10021.01700000001,1
2025-12-01 11:00:00,10033.511000000015,-1
2025-12-01 12:00:00,10071.364000000014,1
2025-12-01 13:00:00,10113.977000000015,1
2025-12-01 14:00:00,10038.422000000011,1
2025-12-01 15:00:00,10253.507000000012,-1
2025-12-01 16:00:00,10376.028000000015,-1
2025-12-01 17:00:00,10441.874000000013,-1
2025-12-01 18:00:00,10490.444000000014,1
2025-12-01 19:00:00,10454.984000000019,1
2025-12-01 20:00:00,10511.91000000002,1
2025-12-01 21:00:00,10569.53100000002,1
2025-12-01 22:00:00,10647.723000000024,-1
2025-12-01 23:00:00,10696.04700000003,-1
2025-12-02 00:00:00,10653.339000000033,-1
2025-12-02 01:00:00,10691.755000000034,-1
2025-12-02 02:00:00,10684.827000000032,-1
2025-12-02 03:00:00,10745.089000000035,1
2025-12-02 04:00:00,10729.462000000034,-1
2025-12-02 05:00:00,10733.354000000032,-1
2025-12-02 06:00:00,10745.71800000003,-1
2025-12-02 07:00:00,10743.423000000032,-1
2025-12-02 08:00:00,10790.425000000028,-1
2025-12-02 09:00:00,10831.235000000026,-1
2025-12-02 10:00:00,10879.646000000026,-1
2025-12-02 11:00:00,10922.764000000026,-1
2025-12-02 12:00:00,10901.316000000028,-1
2025-12-02 13:00:00,10920.721000000023,1
2025-12-02 14:00:00,10884.37500000002,1
2025-12-02 15:00:00,11101.017000000022,-1
2025-12-02 16:00:00,11166.463000000018,-1
2025-12-02 17:00:00,11141.54000000002,-1
2025-12-02 18:00:00,11145.833000000019,-1
2025-12-02 19:00:00,11172.295000000018,-1
2025-12-02 20:00:00,11187.579000000018,1
2025-12-02 21:00:00,11167.725000000019,1
2025-12-02 22:00:00,11177.225000000019,1
2025-12-02 23:00:00,11228.394000000018,-1
2025-12-03 00:00:00,11236.358000000024,-1
2025-12-03 01:00:00,11206.155000000022,-1
2025-12-03 02:00:00,11196.17600000002,1
2025-12-03 03:00:00,11155.059000000023,-1
2025-12-03 04:00:00,11155.165000000026,1
2025-12-03 05:00:00,11154.684000000023,-1
2025-12-03 06:00:00,11190.738000000023,1
2025-12-03 07:00:00,11155.277000000024,-1
2025-12-03 08:00:00,11093.287000000022,-1
2025-12-03 09:00:00,11053.57400000002,1
2025-12-03 10:00:00,11087.180000000024,-1
2025-12-03 11:00:00,11055.448000000024,1
2025-12-03 12:00:00,11009.695000000022,1
2025-12-03 13:00:00,11011.208000000024,-1
2025-12-03 14:00:00,11161.34000000002,-1
2025-12-03 15:00:00,11112.990000000016,-1
2025-12-03 16:00:00,11196.800000000017,-1
2025-12-03 17:00:00,11198.646000000022,1
2025-12-03 18:00:00,11249.37600000002,-1
2025-12-03 19:00:00,11230.507000000014,-1
2025-12-03 20:00:00,11191.37300000002,-1
2025-12-03 21:00:00,11232.79800000002,1
2025-12-03 22:00:00,11267.397000000019,-1
2025-12-03 23:00:00,11275.61300000002,-1
2025-12-04 00:00:00,11286.060000000018,1
2025-12-04 01:00:00,11353.145000000015,-1
2025-12-04 02:00:00,11420.804000000018,1
2025-12-04 03:00:00,11437.97600000002,-1
2025-12-04 04:00:00,11418.666000000023,1
2025-12-04 05:00:00,11451.091000000028,1
2025-12-04 06:00:00,11480.262000000032,1
2025-12-04 07:00:00,11497.771000000033,1
2025-12-04 08:00:00,11515.967000000033,1
2025-12-04 09:00:00,11533.304000000031,-1
2025-12-04 10:00:00,11498.81200000003,1
2025-12-04 11:00:00,11513.079000000027,1
2025-12-04 12:00:00,11545.398000000027,-1
2025-12-04 13:00:00,11528.644000000028,-1
2025-12-04 14:00:00,11588.983000000027,-1
2025-12-04 15:00:00,11655.85900000003,1
2025-12-04 16:00:00,11681.656000000028,-1
2025-12-04 17:00:00,11680.064000000028,1
2025-12-04 18:00:00,11674.394000000026,-1
2025-12-04 19:00:00,11839.858000000026,-1
2025-12-04 20:00:00,11810.819000000029,1
2025-12-04 21:00:00,11776.29700000003,-1
2025-12-04 22:00:00,11777.220000000032,-1
2025-12-04 23:00:00,11785.190000000033,-1
2025-12-05 00:00:00,11765.982000000033,-1
2025-12-05 01:00:00,11765.653000000033,-1
2025-12-05 02:00:00,11803.584000000037,-1
2025-12-05 03:00:00,11828.625000000038,-1
2025-12-05 04:00:00,11865.12400000004,1
2025-12-05 05:00:00,11889.65100000004,-1
2025-12-05 06:00:00,11921.264000000041,1
2025-12-05 07:00:00,11933.837000000043,-1
2025-12-05 08:00:00,11960.272000000039,1
2025-12-05 09:00:00,12005.04800000004,1
2025-12-05 10:00:00,12012.67700000004,-1
2025-12-05 11:00:00,12016.93500000004,1
2025-12-05 12:00:00,11997.068000000036,1
2025-12-05 13:00:00,12010.786000000038,-1
2025-12-05 14:00:00,11966.965000000044,1
2025-12-05 15:00:00,12021.985000000046,-1
2025-12-05 16:00:00,12189.313000000046,1
2025-12-05 17:00:00,12193.451000000048,1
2025-12-05 18:00:00,12177.546000000048,-1
2025-12-05 19:00:00,12168.532000000048,1
2025-12-05 20:00:00,12214.291000000047,1
2025-12-05 21:00:00,12195.288000000046,1
2025-12-05 22:00:00,12196.889000000047,-1
2025-12-05 23:00:00,12213.440000000048,1
2025-12-06 00:00:00,12237.945000000049,1
2025-12-06 01:00:00,12254.941000000048,-1
2025-12-06 02:00:00,12239.916000000048,1
2025-12-06 03:00:00,12300.881000000045,-1
2025-12-06 04:00:00,12258.46500000005,1
2025-12-06 05:00:00,12263.350000000046,1
2025-12-06 06:00:00,12275.015000000043,1
2025-12-06 07:00:00,12263.69300000004,1
2025-12-06 08:00:00,12274.876000000035,-1
2025-12-06 09:00:00,12287.358000000037,-1
2025-12-06 10:00:00,12295.718000000037,1
2025-12-06 11:00:00,12288.09400000004,-1
2025-12-06 12:00:00,12274.641000000038,1
2025-12-06 13:00:00,12262.507000000038,-1
2025-12-06 14:00:00,12284.770000000039,-1
2025-12-06 15:00:00,12284.63500000004,1
2025-12-06 16:00:00,12294.778000000038,-1
2025-12-06 17:00:00,12312.091000000037,1
2025-12-06 18:00:00,12316.717000000033,1
2025-12-06 19:00:00,12318.600000000031,-1
2025-12-06 20:00:00,12326.804000000033,1
2025-12-06 21:00:00,12335.63600000003,-1
2025-12-06 22:00:00,12346.21600000003,-1
2025-12-06 23:00:00,12362.32700000003,1
2025-12-07 00:00:00,12372.581000000035,1
2025-12-07 01:00:00,12386.188000000036,-1
2025-12-07 02:00:00,12405.750000000038,1
2025-12-07 03:00:00,12404.459000000037,-1
2025-12-07 04:00:00,12435.825000000039,-1
2025-12-07 05:00:00,12435.421000000035,1
2025-12-07 06:00:00,12446.673000000033,1
2025-12-07 07:00:00,12475.458000000031,1
2025-12-07 08:00:00,12511.73100000003,-1
2025-12-07 09:00:00,12538.17300000003,1
2025-12-07 10:00:00,12568.966000000031,-1
2025-12-07 11:00:00,12560.386000000033,1
2025-12-07 12:00:00,12595.604000000036,-1
2025-12-07 13:00:00,12602.436000000036,1
2025-12-07 14:00:00,12684.867000000037,1
2025-12-07 15:00:00,12788.104000000036,1
2025-12-07 16:00:00,12777.824000000037,1
2025-12-07 17:00:00,12841.687000000034,-1
2025-12-07 18:00:00,12884.216000000035,-1
2025-12-07 19:00:00,12884.300000000032,-1
2025-12-07 20:00:00,12890.586000000025,1
2025-12-07 21:00:00,13003.818000000028,1
2025-12-07 22:00:00,13036.907000000027,-1
2025-12-07 23:00:00,13069.181000000028,1
2025-12-08 00:00:00,13078.498000000027,1
2025-12-08 01:00:00,13183.606000000027,-1
2025-12-08 02:00:00,13132.998000000029,1
2025-12-08 03:00:00,13163.387000000028,1
2025-12-08 04:00:00,13174.97900000003,1
2025-12-08 05:00:00,13156.065000000028,-1
2025-12-08 06:00:00,13168.188000000026,-1
2025-12-08 07:00:00,13201.632000000021,-1
2025-12-08 08:00:00,13196.754000000024,1
2025-12-08 09:00:00,13192.372000000027,-1
2025-12-08 10:00:00,13207.286000000027,-1
2025-12-08 11:00:00,13203.057000000028,1
2025-12-08 12:00:00,13215.854000000028,-1
2025-12-08 13:00:00,13212.594000000026,-1
2025-12-08 14:00:00,13224.404000000031,-1
2025-12-08 15:00:00,13211.12700000003,1
2025-12-08 16:00:00,13243.862000000025,1
2025-12-08 17:00:00,13271.636000000024,1
2025-12-08 18:00:00,13310.378000000024,-1
2025-12-08 19:00:00,13305.956000000024,-1
2025-12-08 20:00:00,13309.038000000028,-1
2025-12-08 21:00:00,13365.209000000032,1
2025-12-08 22:00:00,13387.732000000035,-1
2025-12-08 23:00:00,13417.918000000032,1
2025-12-09 00:00:00,13451.813000000033,-1
2025-12-09 01:00:00,13470.934000000034,1
2025-12-09 02:00:00,13471.184000000028,-1
2025-12-09 03:00:00,13500.669000000024,1
2025-12-09 04:00:00,13516.75300000002,1
2025-12-09 05:00:00,13509.839000000016,-1
2025-12-09 06:00:00,13554.694000000014,1
2025-12-09 07:00:00,13519.206000000013,1
2025-12-09 08:00:00,13514.83400000001,-1
2025-12-09 09:00:00,13552.321000000013,-1
2025-12-09 10:00:00,13564.899000000016,1
2025-12-09 11:00:00,13548.053000000018,1
2025-12-09 12:00:00,13566.688000000016,-1
2025-12-09 13:00:00,13620.689000000018,1
2025-12-09 14:00:00,13685.911000000016,1
2025-12-09 15:00:00,13879.395000000017,1
2025-12-09 16:00:00,13965.45100000002,-1
2025-12-09 17:00:00,13994.053000000018,-1
2025-12-09 18:00:00,13997.568000000023,1
2025-12-09 19:00:00,14000.881000000021,-1
2025-12-09 20:00:00,14016.162000000024,-1
2025-12-09 21:00:00,14045.480000000029,1
2025-12-09 22:00:00,14065.624000000027,1
2025-12-09 23:00:00,14084.226000000024,-1
2025-12-10 00:00:00,14049.731000000027,-1
2025-12-10 01:00:00,14056.438000000033,1
2025-12-10 02:00:00,14130.916000000032,1
2025-12-10 03:00:00,14129.244000000035,-1
2025-12-10 04:00:00,14154.978000000037,1
2025-12-10 05:00:00,14152.504000000037,1
2025-12-10 06:00:00,14172.45400000004,1
2025-12-10 07:00:00,14176.031000000043,1
2025-12-10 08:00:00,14145.394000000042,-1
2025-12-10 09:00:00,14184.805000000042,1
2025-12-10 10:00:00,14263.174000000045,1
2025-12-10 11:00:00,14270.443000000045,1
2025-12-10 12:00:00,14272.040000000048,1
2025-12-10 13:00:00,14255.686000000045,1
2025-12-10 14:00:00,14202.962000000049,-1
2025-12-10 15:00:00,14119.613000000047,1
