trade_id,direction,entry_time,entry_price,exit_time,exit_price,size,pnl,fee,net_pnl,capital_after,note
1,SHORT,2025-12-01 00:06:00,89480.01,2025-12-01 00:41:00,88143.62,0.1,133.63899999999995,0.0,133.63899999999995,10133.639,
2,LONG,2025-12-01 00:41:00,88143.62,2025-12-01 00:45:00,87650.09,0.1,-49.35299999999989,0.0,-49.35299999999989,10084.286,
3,SHORT,2025-12-01 00:45:00,87650.09,2025-12-01 01:02:00,87420.0,0.1,23.008999999999652,0.0,23.008999999999652,10107.295,
4,LONG,2025-12-01 01:02:00,87420.0,2025-12-01 01:24:00,87339.37,0.1,-8.063000000000466,0.0,-8.063000000000466,10099.232,
5,SHORT,2025-12-01 01:24:00,87339.37,2025-12-01 01:35:00,87471.39,0.1,-13.202000000000409,0.0,-13.202000000000409,10086.029999999999,
6,LONG,2025-12-01 01:35:00,87471.39,2025-12-01 01:46:00,87348.52,0.1,-12.286999999999535,0.0,-12.286999999999535,10073.742999999999,
7,SHORT,2025-12-01 01:46:00,87348.52,2025-12-01 02:04:00,87354.78,0.1,-0.6259999999994762,0.0,-0.6259999999994762,10073.116999999998,
8,LONG,2025-12-01 02:04:00,87354.78,2025-12-01 02:17:00,87298.9,0.1,-5.588000000000466,0.0,-5.588000000000466,10067.528999999999,
9,SHORT,2025-12-01 02:17:00,87298.9,2025-12-01 02:54:00,86774.17,0.1,52.472999999999594,0.0,52.472999999999594,10120.001999999999,
10,LONG,2025-12-01 02:54:00,86774.17,2025-12-01 03:01:00,86625.89,0.1,-14.827999999999884,0.0,-14.827999999999884,10105.173999999999,
11,SHORT,2025-12-01 03:01:00,86625.89,2025-12-01 03:18:00,86560.84,0.1,6.505000000000291,0.0,6.505000000000291,10111.679,
12,LONG,2025-12-01 03:18:00,86560.84,2025-12-01 03:30:00,86342.98,0.1,-21.786000000000058,0.0,-21.786000000000058,10089.893,
13,SHORT,2025-12-01 03:30:00,86342.98,2025-12-01 03:41:00,86420.0,0.1,-7.702000000000408,0.0,-7.702000000000408,10082.190999999999,
14,LONG,2025-12-01 03:41:00,86420.0,2025-12-01 03:47:00,86352.73,0.1,-6.727000000000408,0.0,-6.727000000000408,10075.463999999998,
15,SHORT,2025-12-01 03:47:00,86352.73,2025-12-01 03:57:00,86399.99,0.1,-4.726000000000932,0.0,-4.726000000000932,10070.737999999998,
16,LONG,2025-12-01 03:57:00,86399.99,2025-12-01 04:00:00,86256.01,0.1,-14.398000000001048,0.0,-14.398000000001048,10056.339999999997,
17,SHORT,2025-12-01 04:00:00,86256.01,2025-12-01 04:07:00,86345.34,0.1,-8.933000000000176,0.0,-8.933000000000176,10047.406999999996,
18,LONG,2025-12-01 04:07:00,86345.34,2025-12-01 04:13:00,86002.37,0.1,-34.29700000000012,0.0,-34.29700000000012,10013.109999999995,
19,SHORT,2025-12-01 04:13:00,86002.37,2025-12-01 04:31:00,85798.0,0.1,20.436999999999536,0.0,20.436999999999536,10033.546999999995,
20,LONG,2025-12-01 04:31:00,85798.0,2025-12-01 04:44:00,85895.25,0.1,9.725000000000001,0.0,9.725000000000001,10043.271999999995,
21,SHORT,2025-12-01 04:44:00,85895.25,2025-12-01 05:01:00,85907.81,0.1,-1.2559999999997673,0.0,-1.2559999999997673,10042.015999999996,
22,LONG,2025-12-01 05:01:00,85907.81,2025-12-01 05:06:00,85718.57,0.1,-18.92399999999907,0.0,-18.92399999999907,10023.091999999997,
23,SHORT,2025-12-01 05:06:00,85718.57,2025-12-01 05:24:00,85844.34,0.1,-12.576999999998954,0.0,-12.576999999998954,10010.514999999998,
24,LONG,2025-12-01 05:24:00,85844.34,2025-12-01 05:31:00,85861.01,0.1,1.6669999999998255,0.0,1.6669999999998255,10012.181999999997,
25,SHORT,2025-12-01 05:31:00,85861.01,2025-12-01 05:43:00,85808.76,0.1,5.2250000000000005,0.0,5.2250000000000005,10017.406999999997,
26,LONG,2025-12-01 05:43:00,85808.76,2025-12-01 06:17:00,86122.37,0.1,31.36100000000006,0.0,31.36100000000006,10048.767999999998,
